标题,作者,出版社,出版时间,评分,纸质版定价
TensorFlow人脸识别实战（人工智能技术丛书）,王晓华,清华大学出版社,2021-8-1,暂无评分,59.00
模式识别与人工智能,,未知,未知,暂无评分,
人工智能实验指导书,李岩山,未知,李岩山,暂无评分,西安电子科技大学出版社
人工智能和数字艺术,,未知,未知,暂无评分,
人工智能：商业化落地实战（新时代·科技新物种）,清华大学出版社,未知,清华大学出版社,暂无评分,57.50元
数据治理：人工智能创建未来城市,沈江,李晋 著,科学技术文献出版社,暂无评分,46.90元
青少年人工智能编程（Python版） : 全彩,刘瑜,华中科技大学出版社,2023-1-10,暂无评分,89.00元
哲学证成与机器编程 : 人工智能、知识论与儒家的三方对话,徐英瑾,徐英瑾,复旦大学出版社,暂无评分,2023
新知图书馆第一辑：人工智能之路,上海科学技术文献出版社,未知,未知,暂无评分,上海科学技术文献出版社
人工智能与中国经济改革发展,蒋南平,王竹君,西南财经大学出版社,暂无评分,88.00元
人工智能：是什么？为什么？怎么做？,,未知,未知,暂无评分,
人工智能：你需要知道的101件事,（芬）Lasse Rouhiainen（拉塞·鲁希宁）,（芬）Lasse Rouhiainen（拉塞·鲁希宁）,电子工业出版社,暂无评分,58.50元
机器学习与边缘人工智能实验,科学出版社,未知,未知,暂无评分,科学出版社
自动驾驶——人工智能理论与实践,胡波主编 林青 陈强副主编,未知,胡波主编 林青 陈强副主编,暂无评分,清华大学出版社
人工智能立法及监管制度研究,翁怡 著,中国广播影视出版社,2022-1,暂无评分,37.50元
智能招聘：人工智能浪潮下的招聘大变局,胡俊生,胡俊生,企业管理出版社,暂无评分,88
MATLAB人工智能算法实战/大数据与人工智能技术丛书,,未知,未知,暂无评分,
人工智能在信用债投资领域的应用:Python语言实践,崔玉征,清华大学出版社,2018-11-22,暂无评分,69.00元
人工智能和智能生活,电子工业出版社,未知,未知,暂无评分,电子工业出版社
人工智能与情报检索,12.80元,未知,未知,暂无评分,12.80元
人工智能进展 2001 KI 2002,"Jarke; Jarke, Matthias; Koehler, Jana","Jarke; Jarke, Matthias; Koehler, Jana",2002-12,暂无评分,497.20元
人工智能应用与体验,陈锐 王恒心 葛鹏,未知,陈锐 王恒心 葛鹏,暂无评分,机械工业出版社
人工智能与语言加工,任虎林,未知,任虎林,暂无评分,中国铁道出版社
人工智能与智慧社会,韩力群 施彦 赵姝颖,未知,韩力群 施彦 赵姝颖,暂无评分,北京邮电大学出版社有限公司
人工智能导论 第2版,,未知,未知,暂无评分,
工业人工智能——发展趋势、应用场景与前沿案例,[德]乌尔里希·森德勒 （Ulrich Sendler）,人民邮电出版社,2021-10,暂无评分,79.00
人机营销学 : 人工智能和自动化时代的29种成功策略,[加]比尔·毕晓普(Bill Bishop),中国科学技术出版社,2023-5,暂无评分,69.00元
当HR遇见AI：用人工智能重新定义人力资源管理,王崇良,人民邮电出版社,2022-7,暂无评分,69.00
人工智能逻辑讲义/中山大学哲学精品教程,李小五,李小五,中山大学出版社,暂无评分,2020-10-1
人工智能中的模糊启发式搜索技术,机械工业出版社,未知,机械工业出版社,暂无评分,6.60元
商业管理中的人工智能和机器学习,[印度]桑迪普·库马尔·潘达(Sandeep kumar Panda),中国科学技术出版社,2024-8,暂无评分,79.00元
知识经济和人工智能时代的新哲学,孙二林,中国经济出版社,2018-10-1,暂无评分,88.00元
移动终端人工智能技术与应用开发,机械工业出版社,未知,未知,暂无评分,机械工业出版社
人工智能与智能经济,,未知,未知,暂无评分,
人工智能的价值反思,孙伟平 戴益斌,未知,孙伟平 戴益斌,暂无评分,上海大学出版社
人工智能 小学版（上册）,北京师范大学出版社,未知,未知,暂无评分,北京师范大学出版社
人工智能与智能教育丛书:自适应学习,教育科学出版社,未知,未知,暂无评分,教育科学出版社
机器学习与人工智能 : 从理论到实践,,未知,未知,暂无评分,
无人作战时代：人工智能和未来战场,董相均,未知,董相均,暂无评分,国防工业出版社
极简AI入门 一本书读懂人工智能思维与应用,人民邮电出版社,未知,未知,暂无评分,人民邮电出版社
无所不能：从逻辑运算到人工智能，计算机科学趣史,中国妇女出版社,未知,未知,暂无评分,中国妇女出版社
知识图谱（大数据与人工智能系列）,中国人民大学出版社,未知,未知,暂无评分,中国人民大学出版社
人工智能在医疗健康领域的应用,中国发展出版社,未知,未知,暂无评分,中国发展出版社
Java物联网、人工智能和区块链编程实战,[英]佩里·肖(Perry Xiao),清华大学出版社,2020-1,暂无评分,98
人工智能与博弈对抗,科学出版社,未知,未知,暂无评分,科学出版社
人工智能与智能养猪,熊本海 著,未知,熊本海 著,暂无评分,中国农业大学出版社
人工智能概论（第二版）,,未知,未知,暂无评分,
医学人工智能指数:2023,,未知,未知,暂无评分,
人工智能导论（微课版）,,未知,未知,暂无评分,
人工智能导论（文科版）,,未知,未知,暂无评分,
信息搜索与人工智能,,未知,未知,暂无评分,
因素空间与人工智能,北京邮电大学出版社,未知,未知,暂无评分,北京邮电大学出版社
2006人工智能趋势 LNCS-4099,2006-12,未知,2006-12,暂无评分,1265.60元
Linux人工智能开发实例,,未知,未知,暂无评分,
人工智能与社会发展,,未知,未知,暂无评分,
Python人工智能编程实践,范淼,范淼,徐晟桐,暂无评分,清华大学出版社
人工智能概论（微课版）,王军,未知,王军,暂无评分,人民邮电出版社
人工智能：馴服賽維坦,高奇琦,香港中和出版有限公司,2019-5,暂无评分,HK$98
人工智能与创客（上册）,上海交通大学出版社,未知,未知,暂无评分,上海交通大学出版社
人工智能·可编程硬件,电子科技大学出版社,未知,未知,暂无评分,电子科技大学出版社
人工智能与创客（下册）,上海交通大学出版社,未知,未知,暂无评分,上海交通大学出版社
人工智能基础及应用,华中科技大学出版社,未知,未知,暂无评分,华中科技大学出版社
人工智能技术与应用,,未知,未知,暂无评分,
眼底病人工智能研究,万程,钱湧,杨卫华,暂无评分,湖北科学技术出版社
人工智能导论（第3版）,电子工业出版社,未知,未知,暂无评分,电子工业出版社
人工智能基础（小学版）,彭艳芳,未知,彭艳芳,暂无评分,清华大学出版社
一小時看懂人工智能,涂子沛,香港中和出版有限公司,2020-9,暂无评分,HK$78
十问人工智能大模型,,未知,未知,暂无评分,
人工智能理论及应用,,未知,未知,暂无评分,
人工智能与病理诊断/人工智能前沿技术系列丛书,,未知,未知,暂无评分,
人工智能三驾马车——大数据、算力和算法,科学技术文献出版社,未知,未知,暂无评分,科学技术文献出版社
你好，AI：布鲁可人工智能启蒙绘本,,未知,未知,暂无评分,
新工匠精神：人工智能挑战下如何成为稀缺人才,付守永,机械工业出版社,2018-7,暂无评分,45.00
人工智能的政策与法律框架研究,,未知,未知,暂无评分,
人工智能教育应用的理论与方法,科学出版社,未知,未知,暂无评分,科学出版社
《人工智能法学研究》2018年第2期,社会科学文献出版社,未知,未知,暂无评分,社会科学文献出版社
人工智能：产业应用与场景赋能,"王雨晨,张天龙,刘杰",中国铁道出版社,2024-4,暂无评分,68.00
走进人类心灵——向人工智能挑战,,未知,未知,暂无评分,
少年时41 : 一往无前的人工智能,小多（北京）文化传媒有限公司,天地出版社,2018-5,暂无评分,39
开放科学 : 人工智能时代的呼唤,之江实验室,中国科学技术出版社,2025-2,暂无评分,99.00元
人工智能编程入门 Scratch编程1级,赵满明,张海涛,人民邮电出版社,暂无评分,69.00元
人工智能的数学基础 : 数据之本,于江生,未知,于江生,暂无评分,清华大学出版社
学习分析 : 人工智能与智能教育丛书,吴忭,未知,吴忭,暂无评分,教育科学出版社
掌控Python 人工智能之机器视觉,,未知,未知,暂无评分,
模式识别与人工智能（基于MATLAB）,周润景,清华大学出版社,2018-7-1,暂无评分,89元
世界人工智能法治蓝皮书（2024）,,未知,未知,暂无评分,
人工智能改变世界 : 工业4.0时代的商业新引擎,陈炳祥,陈炳祥,人民邮电出版社,暂无评分,58.00
探索人工智能(Ⅰ趋势解析)/理解未来系列,未来论坛,科学,2018-08-01,暂无评分,49.0
人工智能蓝图(构建和部署人工智能商业项目指南),,未知,未知,暂无评分,
2022-2023人工智能学科发展报告,中国电子学会,中国科学技术出版社,2024-6,暂无评分,98.00
数据与人工智能驱动型公司,[西] 理查德·本杰明(Richard Benjamins),中国科学技术出版社,2024-5,暂无评分,89.00元
数据科学基础（大数据与人工智能系列）,中国人民大学出版社,未知,未知,暂无评分,中国人民大学出版社
AI+电信网络 运营商的人工智能之路,人民邮电出版社,未知,未知,暂无评分,人民邮电出版社
人工智能在电力系统优化中的应用 : 基于人工智能方法解决电力系统优化问题研究的多年成果总结,［泰］威拉昆·昂撒考（Weerakorn Ongsakul）,机械工业出版社,2015-10,暂无评分,98.00
人工智能火电厂和智慧企业,中国石化出版社,未知,未知,暂无评分,中国石化出版社
促进人工智能发展的法律与伦理规范,科学技术文献出版社,未知,科学技术文献出版社,暂无评分,2020
人工智能导论(第3版高等院校人工智能系列十四五规划教材)/人工智能应用丛书,,未知,未知,暂无评分,
监管科技——人工智能与区块链应用之大道,杜宁,中国金融出版社,2018-7-31,暂无评分,CNY 89.00
AI 改变世界 : 人工智能新发展与智算经济,方磊 黄郑 编著,新华出版社,2024-9,暂无评分,88.00元
大数据智能核心技术入门：从大数据到人工智能,杜圣东,电子工业出版社,2019-4,暂无评分,49.00元
多模态人工智能：大模型核心原理与关键技术,王金桥,电子工业出版社,2024-8,暂无评分,100.00元
基于Python的人工智能应用基础,北京邮电大学出版社,未知,未知,暂无评分,北京邮电大学出版社
基于MATLAB的人工智能模式识别,电子工业出版社,未知,未知,暂无评分,电子工业出版社
人工智能概论（项目式）（微课版）,,未知,未知,暂无评分,
人工智能全书 : 一本书读懂AI基础知识、商业应用与技术发展,[日] 伊本贵士,人民邮电出版社,2022-2-1,8.0,129.8
司法裁判过程中的人工智能应用研究,彭中礼,法律出版社,2024-6,暂无评分,79
人工智能与机器学习入门（原书第2版）,Richard E. Neapolitan,Xia Jiang,机械工业出版社,暂无评分,2021-10
人工智能基础与应用（微课版）,人民邮电出版社,未知,未知,暂无评分,人民邮电出版社
大数据与人工智能应用导论,电子科技大学出版社,未知,未知,暂无评分,电子科技大学出版社
人工智能基础与实践（高中版）,,未知,未知,暂无评分,
企业数字化转型人工智能技术落地指南,金玮,人民邮电出版社,2022-12,暂无评分,79.00元
金融AI算法：：人工智能在金融领域的前沿应用指南,【德】克里斯蒂安·L. 迪尼（Christian L. Dunis）,中国人民大学出版社,2021-7,暂无评分,89.00
人工智能数学基础与Python机器学习实战,北京大学出版社,未知,未知,暂无评分,北京大学出版社
丰田的未来：人工智能时代的生存之道,日本经济新闻社,日本经济新闻社,孙逢明,暂无评分,浙江人民出版社
信息技术与人工智能（活页式）,西南交通大学出版社,未知,未知,暂无评分,西南交通大学出版社
世界人工智能法治蓝皮书（2021）,叶青等,上海人民出版社,2021,暂无评分,265
化工冶金过程人工智能优化,刘洪霖,冶金工业出版社,1999-01,暂无评分,26.00元
重塑:人工智能与学习的革命,北京邮电大学出版社,未知,未知,暂无评分,北京邮电大学出版社
小学生人工智能——开源硬件micro:bit,清华大学出版社,未知,未知,暂无评分,清华大学出版社
AIGC生成式人工智能服装设计,邓云 毕然 丛小棠 崔苗 贾玺增,未知,未知,暂无评分,邓云 毕然 丛小棠 崔苗 贾玺增
信息技术·选修：人工智能初步,教育科学出版社,教育科学出版社,2004-10,暂无评分,14.40元
世界人工智能法治蓝皮书（2022）,,未知,未知,暂无评分,
人工智能时代移动学习服务,电子工业出版社,未知,未知,暂无评分,电子工业出版社
人工智能海洋学基础及应用,科学出版社,未知,未知,暂无评分,科学出版社
计算机技术与人工智能基础,赵学军,北京邮电大学出版社,2020-6,暂无评分,45.00元
世界人工智能法治蓝皮书(2023),崔亚东 主编 叶青等 副主编,未知,崔亚东 主编 叶青等 副主编,暂无评分,上海人民出版社
AI+:人工智能时代新商业模式,,未知,未知,暂无评分,
AI觉醒：生成式人工智能产业机遇与数字治理,鲁俊群,鲁俊群,机械工业出版社,暂无评分,2024-3
人工智能工程技术人员（初级）——人工智能芯片产品实现,中国电子技术标准化研究院,未知,中国电子技术标准化研究院,暂无评分,中国人事出版社
人工智能技术基础（21世纪人工智能创新与应用丛书）,,未知,未知,暂无评分,
人工智能的知识产权法挑战与应对,李宗辉,李宗辉,知识产权出版社,暂无评分,78.00元
人工智能的数学基础(影印版)(英文版),,未知,未知,暂无评分,
人工智能前端设备应用实训（中级）,,未知,未知,暂无评分,
智能治理导论：人工智能驱动的治理现代化,孟天广,未知,孟天广,暂无评分,清华大学出版社
区块链与人工智能：构建智能化数字经济世界,刘权,人民邮电出版社,2019-1,暂无评分,69.00
写给小白的Python入门实战课 : 开启人工智能之门,千课编程,华中科技大学出版社,2020-7-1,暂无评分,50
大数据与人工智能技术（微课视频版）（大数据与人工智能技术丛书）,,未知,未知,暂无评分,
人工智能实践——动手做你自己的AI,上海科技教育出版社,未知,未知,暂无评分,上海科技教育出版社
人工智能与大数据法律问题研究,冷传莉,冷传莉,知识产权出版社,暂无评分,95.00元
微课学人工智能Python编程,李方园 等,未知,李方园 等,暂无评分,机械工业出版社
Python人工智能技术与应用,,未知,未知,暂无评分,
数字经济时代 : 大数据与人工智能驱动新经济发展,徐翔,徐翔,人民出版社,暂无评分,2021-8-1
人工智能专业英语教程（大数据与人工智能技术丛书）,清华大学出版社,未知,未知,暂无评分,清华大学出版社
人工智能导论（普通高等教育人工智能专业系列教材）,中国水利水电出版社,未知,未知,暂无评分,中国水利水电出版社
人工智能技术应用导论,,未知,未知,暂无评分,
人工智能+5G与教育变革,,未知,未知,暂无评分,
人工智能数据处理基础,,未知,未知,暂无评分,
人工智能实用操作教程,,未知,未知,暂无评分,
人工智能的未来（第二版）,科学出版社,未知,未知,暂无评分,科学出版社
大数据.人工智能和网络舆情治理,武汉大学出版社,未知,未知,暂无评分,武汉大学出版社
2020―2021年中国人工智能产业发展蓝皮书,,未知,未知,暂无评分,
人工智能与智能教育丛书：游戏化学习,教育科学出版社,未知,未知,暂无评分,教育科学出版社
从零解说人工智能(结构原理及其应用),(日)神崎洋治,化学工业出版社,2019-10-01,暂无评分,59.80元
PRICAL 2002人工智能趋势 PRICAI 2002,Mitsuru Ishizuka,Mitsuru Ishizuka,2002-9,暂无评分,110.00元
人工智能与大数据技术,,未知,未知,暂无评分,
医学大数据与人工智能,,未知,未知,暂无评分,
人工智能原理方法应用,,未知,未知,暂无评分,
大学人工智能通识教程,,未知,未知,暂无评分,
Python程序设计与人工智能,,未知,未知,暂无评分,
探索人工智能(Ⅱ交叉应用)/理解未来系列,未来论坛,科学,2018-08-01,暂无评分,49.0
TensorFlow语音识别实战（人工智能技术丛书）,王晓华,清华大学出版社,2021-8-1,暂无评分,69.00
AIGC时代：突破创作边界的人工智能绘画,王喜文,未知,王喜文,暂无评分,电子工业出版社
青少年人工智能基础知识读本（三年级）/“人工智能基础教育”系列丛书,“人工智能基础教育”系列丛书编写组,福建人民出版社,2019-11,暂无评分,13.5
青少年人工智能基础知识读本（六年级）/“人工智能基础教育”系列丛书,“人工智能基础教育”系列丛书编写组,福建人民出版社,2019-11,暂无评分,16
青少年人工智能基础知识读本（五年级）/“人工智能基础教育”系列丛书,“人工智能基础教育”系列丛书编写组,福建人民出版社,2019-11,暂无评分,14
人工智能在商业银行的应用与实践,王铿,机械工业出版社,2023-5-6,暂无评分,79.00元
人工智能在计算机游戏和动画中的应用,方约翰,清华大学出版社,2004-6,暂无评分,28.0
人工智能时代下的组织绩效改进,经济管理出版社,未知,未知,暂无评分,经济管理出版社
人工智能领域的专利申请及保护,复旦大学出版社,未知,未知,暂无评分,复旦大学出版社
人工智能投资顾问法律问题研究,,未知,未知,暂无评分,
人工智能知识产权保护：挑战及应对,何炼红,未知,何炼红,暂无评分,法律出版社
中国人工智能进展2007(上下)(附盘) (平装),中国人工智能学会,第1版 (2007年12月1日),2007年12月1日,暂无评分,280.0
AI赋能：人工智能赋能中国企业升级,刘小文,李明林 著 华夏智库 出品,中国商业出版社,暂无评分,48元
英汉人工智能简明词典,上海交通大学出版社,未知,未知,暂无评分,上海交通大学出版社
人工智能启蒙（套装4册）,化学工业出版社,未知,未知,暂无评分,化学工业出版社
人工智能基础实验教程,,未知,未知,暂无评分,
人工智能大揭秘（全2册）,(意)?特尔莫·皮埃瓦尼,(意)?特尔莫·皮埃瓦尼,(意)?费德里科·塔迪亚,暂无评分,河南科学技术出版社
旅游大数据与人工智能,,未知,未知,暂无评分,
人工智能与电影特效制作及应用,上海科学技术出版社,未知,未知,暂无评分,上海科学技术出版社
现代电力系统辨识人工智能方法,艾芊,上海交通大学出版社,2012-1,暂无评分,98.00元
人工智能社会前沿问题哲学研究,谢瑜主编,未知,谢瑜主编,暂无评分,中国社会科学出版社
人工智能在航天领域的应用探索,姚黎帆,高振岳,张芳芳,暂无评分,北京航空航天大学出版社
深度学习的商业化应用 : 谷歌工程师前沿解读人工智能,日经大数据,华中科技大学出版社,2018-7,6.3,35
人工智能边缘计算开发实战 : 基于NVIDIA Jetson Nano,陈永翰,化学工业出版社,2024-2,暂无评分,99
认知电子战中的人工智能方法(精),,未知,未知,暂无评分,
Progress in Artificial Intelligence人工智能进展,"Moura Pires, Fernando; Abreu, Salvador;","Moura Pires, Fernando; Abreu, Salvador;",2004-1,暂无评分,700.60元
人工智能技术应用基础,,未知,未知,暂无评分,
Python与人工智能应用技术,,未知,未知,暂无评分,
人工智能基础项目教程,董彧先,未知,董彧先,暂无评分,北京交通大学出版社
人工智能综合项目开发,,未知,未知,暂无评分,
人工智能与智能化战争,,未知,未知,暂无评分,
人工智能法律实务指南,,未知,未知,暂无评分,
人工智能与大数据（卷1）：基础概念和模型,[新加坡]周志华(Chew Chee Hua),[新加坡]周志华(Chew Chee Hua),人民邮电出版社,暂无评分,89.90元
人工智能(复杂问题求解的结构和策略英文版第4版),George F.Luger,机械工业出版社,2003-5-1,暂无评分,69.00
股市掘金:人工智能板块股票投资指南,中国宇航出版社,未知,未知,暂无评分,中国宇航出版社
人工智能辅助药物设计（异步图书出品）,常珊 谢良旭,人民邮电出版社,2024-6,暂无评分,109.8
脑工解放时代来临 : 人工智能文化生产工艺学批判,刘方喜,浙江工商大学出版社,2022-9,暂无评分,58.00元
人工智能小超人（中学版）,,未知,未知,暂无评分,
人工智能赋能智慧社区,上海科学技术出版社,未知,未知,暂无评分,上海科学技术出版社
Python编程与人工智能启蒙,苏州大学出版社,未知,未知,暂无评分,苏州大学出版社
5G、人工智能与工业互联,朱彦鹏 孙伟 武志超 吕东 范国权,未知,朱彦鹏 孙伟 武志超 吕东 范国权,暂无评分,经济日报出版社
人工智能与教育现代化,王金伟,王金伟,徐艳,暂无评分,上海大学出版社
从物联网到人工智能(上),浙江大学出版社,未知,未知,暂无评分,浙江大学出版社
人工智能应用技术基础,,未知,未知,暂无评分,
音乐编程人工智能启蒙,,未知,未知,暂无评分,
人工智能小超人（小学版）,,未知,未知,暂无评分,
慧编程与人工智能教学,王永生,王海旭,赵书艺 主编,暂无评分,陕西师范大学出版社
Advances in artificial intelligence(人工智能进展),Springer; 1 edition,Springer; 1 edition,2001年,暂无评分,110.0
人机共创的智慧--著名科学家谈人工智能,戴汝为,广西师范大学出版社,1999-04,暂无评分,5.00
人工智能开发丛书--Scikit-learn机器学习详解（上）,化学工业出版社,未知,未知,暂无评分,化学工业出版社
精编人工智能原理与实践（大数据与人工智能技术丛书）,,未知,未知,暂无评分,
人工智能如何改变新闻 : 技术、媒介物质性与人机融合,吴璟薇,未知,吴璟薇,暂无评分,中国人民大学出版社
机器学习从入门到入职 : 用sklearn与keras搭建人工智能模型,张威,电子工业出版社,2020-1,暂无评分,99
中小学生人工智能知识,,未知,未知,暂无评分,
人工智能原理及MATLAB实现,许国根 贾瑛 黄智勇 李茸,未知,许国根 贾瑛 黄智勇 李茸,暂无评分,人民邮电出版社
媒体用人工智能主播发展研究,,未知,未知,暂无评分,
人工智能进展/会议录 Advances in artificial intelligence,"Canadian Society for Computational Studi; Lamontagne, Luc; Marchand, Mario","Canadian Society for Computational Studi; Lamontagne, Luc; Marchand, Mario",2006-12,暂无评分,768.40元
人工智能——机器学习与神经网络,国防工业出版社,未知,未知,暂无评分,国防工业出版社
青少年人工智能基础知识读本（四年级）/“人工智能基础教育”系列丛书,“人工智能基础教育”系列丛书编写组,福建人民出版社,2019-11,暂无评分,14
人工智能及其运用 : 本科生用书,蔡兴自,清华大学出版社,2003-9,暂无评分,26.00元
人工智能算法安全与安全应用,,未知,未知,暂无评分,
健康医疗人工智能指数报告2021,,未知,未知,暂无评分,
解密人工智能：原理、技术及应用,,未知,未知,暂无评分,
人工智能注意力机制：体系、模型与算法剖析,傅罡,傅罡,机械工业出版社,暂无评分,2024-4
人工智能基础及应用/21世纪人工智能创新与应用丛书,,未知,未知,暂无评分,
烧结过程数学模型与人工智能,范晓慧,中南大学出版社,2002-10,暂无评分,28.00元
人工智能基本方法及程序设计,陆玲,何月顺,哈尔滨工程大学出版社,暂无评分,2013-4
智能金融：人工智能在金融科技领域的13大应用场景,电子工业出版社,未知,未知,暂无评分,电子工业出版社
PyTorch 2.0深度学习从零开始学（人工智能技术丛书）,,未知,未知,暂无评分,
剑桥人工智能手册 : 法律与伦理的全球视野,[美] 拉里·A.迪马特奥,倪朱亮,当代中国出版社,暂无评分,2024-12
规则时代 : 虚拟现实、人工智能和区块链构建的游戏化未来,光速追猎者,电子工业出版社,2018-6-1,暂无评分,CNY 69.00
人工智能嵌入式系统开发实战,顾锞 等,未知,顾锞 等,暂无评分,电子工业出版社
客服域人工智能训练师 : 客户世界管理—运营—技能基准系列,赵溪,清华大学出版社,2021-1,暂无评分,69
法律如何使人类的潜意识免受AI的操控？ : 透视欧盟《人工智能法案》,[奥] 诺思坦,戴艺晗,上海人民出版社,暂无评分,2024-9
人工智能+医疗健康：应用现状及未来发展概论,电子工业出版社,未知,未知,暂无评分,电子工业出版社
黑镜与秩序 : 数智化风险社会下的人工智能伦理与治理,长铗,清华大学出版社,2022-7,暂无评分,59.00元
语境论视野下的人工智能范式发展趋势研究,董佳蓉,董佳蓉,科学出版社,暂无评分,68
机器学习人工智能及应用研究,,未知,未知,暂无评分,
人工智能在外科临床中的应用,人民卫生出版社,未知,未知,暂无评分,人民卫生出版社
小学生人工智能——图形化编程Kittenblock,清华大学出版社,未知,未知,暂无评分,清华大学出版社
孩子读得懂的人工智能（全3册）,,未知,未知,暂无评分,
领会人工智能 : 我们的算法世界,(澳) 安东尼·艾略特,国防工业出版社,2024-5,暂无评分,98.00
人工智能学习辅导与实验指导,周金海,清华大学出版社,2008-3,暂无评分,22.00元
人工智能安防（清华开发者书库）,清华大学出版社,未知,未知,暂无评分,清华大学出版社
人工智能语音测试原理与实践,,未知,未知,暂无评分,
人工智能训练师（数据标注员）（五级 四级）,上海职业技能等级认定培训教材编委会,未知,上海职业技能等级认定培训教材编委会,暂无评分,中国劳动社会保障出版社
人工智能与智能教育丛书：学习者画像,,未知,未知,暂无评分,
人工智能中的逻辑 : 10thEuropeanConference.JELIA2006.Liverpool.UK.September13-15.200,"Fisher, Micheal; Van Der Hoek, Wiebe; Konev, Boris","Fisher, Micheal; Van Der Hoek, Wiebe; Konev, Boris",2006-12,暂无评分,723.20元
人工智能之Mixly趣味编程（第2版）,电子工业出版社,未知,未知,暂无评分,电子工业出版社
人工智能超密集移动通信系统,杨春刚,杨春刚,电子工业出版社,暂无评分,128.90元
人工智能专业英语（附全套音频）,人民邮电出版社,未知,未知,暂无评分,人民邮电出版社
人工智能：智能颠覆时代，你准备好了吗,中国纺织出版社,未知,未知,暂无评分,中国纺织出版社
智能化变革：人工智能技术进化与价值创造,清华大学出版社,未知,清华大学出版社,暂无评分,99
马克思技术观视域下人工智能问题研究,郭明哲 著,未知,郭明哲 著,暂无评分,天津人民出版社
HELLO RUBY儿童编程思维启蒙书 : 人工智能,Linda Liukas,Linda Liukas,化学工业出版社,暂无评分,2022-1-1
PyTorch语音识别实战（人工智能技术丛书）,王晓华,清华大学出版社,2024-3,暂无评分,69.00
Python编程与初级数学/青少年人工智能学习丛书,王振世,电子工业出版社,2019-08-01,暂无评分,39.00元
计算思维养成指南 : 少儿编程高手密码：编程思维应对人工智能挑战,李泽,中国青年出版社,2020-1,暂无评分,88元
新基建下人工智能的未来,,未知,未知,暂无评分,
“互联网+”人工智能技术实现,,未知,未知,暂无评分,
重塑:人工智能与智能经济,北京邮电大学出版社,未知,未知,暂无评分,北京邮电大学出版社
人工智能技术基础及应用,,未知,未知,暂无评分,
人工智能与泌尿系统疾病,史本康,未知,史本康,暂无评分,山东大学出版社
基于人工智能的行人流模拟与仿真,李军,科学出版社,2018-7-1,暂无评分,90
人工智能——开启智能时代的聪明机器,上海科学普及出版社,未知,未知,暂无评分,上海科学普及出版社
人工智能工程技术人员（初级）——人工智能应用产品集成实现,中国电子技术标准化研究院,未知,中国电子技术标准化研究院,暂无评分,中国人事出版社
人工智能的法律回应：从权利法理到致害责任,法律出版社,未知,未知,暂无评分,法律出版社
人工智能概论(高等职业教育人工智能工程技术系列教材),,未知,未知,暂无评分,
人工智能：探昔论今(英文版）,清华大学出版社,未知,未知,暂无评分,清华大学出版社
生命科学与人工智能导论,,未知,未知,暂无评分,
人工智能应用导论（第二版）,曾文权,未知,曾文权,暂无评分,西安电子科技大学出版社
人工智能法学研究（第5辑）,,未知,未知,暂无评分,
人工智能与中学科技创新,高山 徐启发 刘峡壁,未知,高山 徐启发 刘峡壁,暂无评分,北京理工大学出版社
人工智能原理与警务应用,,未知,未知,暂无评分,
人工智能赋能中西医结合,,未知,未知,暂无评分,
重新定义交通：人工智能引领交通变革,机械工业出版社,未知,未知,暂无评分,机械工业出版社
人工智能及其在决策系统中的应用,蔡自兴,国防科技大学出版社,2006年03月,暂无评分,29.8
全球视野下的人工智能治理（第一辑）,,未知,未知,暂无评分,
人工智能算法研究与应用,,未知,未知,暂无评分,
赋能：人工智能与数字经济,,未知,未知,暂无评分,
人工智能时代的国际传播,,未知,未知,暂无评分,
人工智能与企业管理赋能,,未知,未知,暂无评分,
人工智能与急危重症抢救,,未知,未知,暂无评分,
人工智能产品设计（赵智峰）,,未知,未知,暂无评分,
IBM-PC计算机人工智能语言：GCLISP和MICRO— PROLOG,"林尧瑞，陆玉昌, 马少平",清华大学出版社,1988-3,暂无评分,3.10
人工智能时代的思想政治教育研究,,未知,未知,暂无评分,
人工智能/战略性新兴产业科普丛书,,未知,未知,暂无评分,
人工智能核心：神经网络（青少科普版）,齐勇刚 乔媛媛 刘军 著,齐勇刚 乔媛媛 刘军 著,清华大学出版社,暂无评分,28.90元
人工智能点云处理及深度学习算法,叶汇贤 李启亮编著,未知,叶汇贤 李启亮编著,暂无评分,北京航空航天大学出版社
96人工智能进展/第四届中国人工智能联合学术会议论文集,李乃奎 石纯一,清华大学出版社,1996-1,暂无评分,30.0
人工智能算法与实践（普通高等教育人工智能专业系列教材）,,未知,未知,暂无评分,
人工智能系统管理与维护,,未知,未知,暂无评分,
人工智能算法Python案例实战,人民邮电出版社,未知,未知,暂无评分,人民邮电出版社
人工智能的刑事责任研究,,未知,未知,暂无评分,
人工智能与音乐艺术创新,,未知,未知,暂无评分,
人工智能法学研究（第6辑）,,未知,未知,暂无评分,
人工智能概论（高等学校电子信息类专业系列教材·人工智能）,清华大学出版社,未知,未知,暂无评分,清华大学出版社
新一代信息技术与人工智能基础,,未知,未知,暂无评分,
重塑：人工智能与智能生活,北京邮电大学出版社,未知,未知,暂无评分,北京邮电大学出版社
人工智能与文化融合研究,刁生富等,未知,刁生富等,暂无评分,中山大学出版社
人工智能伦理困境与突围,,未知,未知,暂无评分,
人工智能与计算原理研究,,未知,未知,暂无评分,
人工智能技术的教学应用,,未知,未知,暂无评分,
给孩子讲人工智能（第2版）,涂子沛,涂子沛,人民邮电出版社,暂无评分,2024-9-30
